"","lab_id_number","date_ordered","sample_name","ordered_by","notebook_page_number","srm_order_number","srm_sample_number","SRM_concat","assay","tissue","tumor_type","species","failed","notes","extra_unnamed_col1","source_file","source_sheet"
"1","DYE4277","6/24/26","H9DR_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471750","877828-3471750","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"2","DYE4277","6/24/26","H9DR_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471750","877828-3471750","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"3","DYE4278","6/24/26","H9DR_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471751","877828-3471751","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"4","DYE4278","6/24/26","H9DR_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471751","877828-3471751","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"5","DYE4279","6/24/26","H9DR_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471752","877828-3471752","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"6","DYE4279","6/24/26","H9DR_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471752","877828-3471752","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"7","DYE4280","6/24/26","H9DR_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471753","877828-3471753","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"8","DYE4280","6/24/26","H9DR_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471753","877828-3471753","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
